queue_len,staff_on_duty,arrival_hour,tests_ordered,walk_in,wait_minutes
1,2,8,2,0,21.4
12,2,12,1,1,93.3
10,3,12,0,0,59.3
7,7,10,1,0,40.5
6,4,9,1,0,35.1
13,6,8,1,0,69.6
1,4,8,1,1,12.8
11,3,12,1,1,87.7
3,4,8,0,0,18.7
1,2,17,0,1,26.7
8,6,10,0,0,32.8
15,3,14,1,0,101.0
11,4,14,4,1,112.5
12,7,12,3,0,80.0
11,5,16,1,0,83.3
12,4,9,3,0,87.6
8,5,10,1,0,53.4
2,6,10,1,1,11.1
13,3,9,2,0,99.1
7,5,10,0,0,41.7
8,7,11,1,0,45.4
5,5,15,2,1,42.6
2,4,11,1,1,23.7
14,2,16,0,1,99.3
12,3,15,1,1,97.5
10,7,17,0,1,82.6
6,5,9,0,1,45.3
13,3,17,1,1,108.1
8,4,14,6,0,87.7
7,5,17,2,0,48.7
7,5,11,3,0,50.7
3,6,17,1,0,33.5
1,3,13,1,0,12.3
8,5,8,0,1,44.8
14,4,12,0,1,94.8
1,7,9,3,0,4.8
13,2,17,0,0,89.9
13,2,11,0,0,89.8
4,4,10,0,1,23.1
10,5,13,1,0,65.1
2,6,12,3,0,19.6
12,4,8,0,0,77.1
11,7,16,0,1,70.7
5,4,16,0,0,37.0
1,2,15,0,1,24.5
15,2,14,2,1,120.8
7,7,12,1,0,41.1
14,2,13,4,1,127.8
10,7,13,0,1,66.0
12,3,9,0,1,81.3
12,2,8,2,0,91.5
3,3,10,2,1,31.2
5,5,12,1,1,34.6
7,4,9,1,0,52.8
7,6,9,0,0,39.4
0,5,16,1,1,14.8
8,4,11,1,1,62.8
2,5,13,0,1,16.3
11,7,13,1,1,78.2
10,4,15,1,0,80.5
14,2,15,2,0,117.9
11,4,10,1,1,78.8
5,7,16,1,0,42.9
15,3,11,1,0,107.0
6,7,16,3,1,59.9
5,5,12,0,0,32.0
14,5,9,3,0,103.2
5,3,15,3,0,52.0
1,7,8,3,0,14.2
7,2,15,2,0,84.0
12,3,8,2,0,85.8
3,4,10,1,0,23.8
7,4,14,0,0,46.0
2,4,17,3,1,37.4
10,2,12,0,1,85.1
7,3,9,1,1,51.2
5,2,10,0,1,38.1
3,5,16,0,0,12.6
9,4,15,3,1,78.9
10,5,9,0,1,52.9
15,5,11,1,0,103.4
6,6,10,0,0,48.2
2,5,9,0,1,9.0
13,5,16,1,1,86.6
10,5,14,2,0,81.6
11,5,9,2,0,72.3
1,5,14,2,0,25.5
4,3,12,0,0,28.1
12,3,8,1,1,82.7
13,6,12,1,1,87.7
6,4,9,0,0,40.7
12,5,10,1,1,81.5
13,3,16,0,1,94.1
6,4,15,0,1,46.2
14,5,9,1,0,83.1
4,5,16,1,1,40.5
3,5,13,3,1,28.3
10,4,16,6,1,104.9
10,7,15,0,0,65.0
2,5,11,0,0,11.4
13,6,13,1,1,93.5
3,6,13,1,0,20.6
12,5,15,2,1,101.4
0,7,10,0,0,0.0
12,2,11,5,1,117.8
12,7,10,1,0,78.5
12,7,10,2,0,82.9
10,5,9,1,0,62.1
7,6,8,0,0,27.4
11,5,17,0,0,77.8
4,3,8,0,0,28.3
12,6,16,3,0,100.6
8,3,8,0,1,49.4
7,3,15,0,1,51.5
8,5,11,1,1,60.9
9,7,13,1,0,56.6
0,4,10,2,1,2.1
2,4,12,0,1,20.1
3,2,12,1,0,20.7
1,2,13,1,1,18.3
7,2,11,0,1,63.2
10,2,13,2,0,94.9
10,7,16,1,0,59.8
7,7,12,0,0,35.3
13,6,11,2,0,89.4
9,2,9,0,1,76.4
1,2,11,2,1,24.1
12,3,9,1,1,84.8
9,5,9,1,0,67.5
10,4,17,0,0,69.6
9,4,8,1,1,68.3
8,3,12,4,0,68.9
1,6,16,2,1,20.1
8,3,17,2,1,66.8
12,2,9,1,0,80.4
4,6,9,0,1,26.2
9,7,11,1,0,54.3
0,2,13,3,0,22.6
5,4,17,0,0,34.8
6,6,10,0,0,30.1
15,6,9,0,0,90.5
3,7,10,2,1,29.8
4,4,16,2,1,30.8
6,4,8,0,0,30.0
15,6,11,2,1,107.1
13,2,9,3,1,107.6
0,3,9,0,0,2.6
3,5,17,1,0,30.4
13,6,8,2,0,83.7
0,2,11,3,1,22.9
13,5,17,3,1,107.3
4,4,14,1,0,41.6
14,5,8,0,1,83.6
4,7,12,0,0,17.4
6,2,17,1,1,62.4
10,7,12,1,1,75.7
2,4,13,2,1,28.2
8,6,13,2,0,64.8
8,4,14,0,0,62.6
12,3,9,5,1,109.3
15,6,16,2,0,106.8
10,6,17,0,0,63.8
6,2,9,2,0,51.7
6,6,16,2,1,58.7
6,6,16,1,0,45.5
13,4,15,1,1,99.8
5,7,11,3,1,36.8
2,5,12,0,1,9.0
5,4,16,2,1,66.0
0,2,9,0,0,2.1
1,6,16,2,1,16.5
1,3,17,2,1,39.9
12,6,14,1,1,86.4
11,5,11,3,1,92.1
11,4,13,2,1,87.7
7,2,8,0,1,49.6
11,6,17,0,1,75.3
2,2,11,4,0,32.3
14,4,8,1,0,92.0
8,7,15,1,0,54.7
